id,eng,hun
4,Afghanistan,Afganisztán
8,Albania,Albánia
12,Algeria,Algéria
20,Andorra,Amerikai Egyesült Államok
24,Angola,Andorra
28,Antigua and Barbuda,Angola
32,Argentina,Antigua és Barbuda
51,Armenia,Argentína
36,Australia,Ausztrália
40,Austria,Ausztria
31,Azerbaijan,Azerbajdzsán
44,Bahamas,Bahama-szigetek
48,Bahrain,Bahrein
50,Bangladesh,Banglades
52,Barbados,Barbados
112,Belarus,Belgium
56,Belgium,Belize
84,Belize,Benin
204,Benin,Bhután
64,Bhutan,Bissau-Guinea
68,Bolivia (Plurinational State of),Bolívia
70,Bosnia and Herzegovina,Bosznia-Hercegovina
72,Botswana,Botswana
76,Brazil,Brazília
96,Brunei Darussalam,Brunei
100,Bulgaria,Bulgária
854,Burkina Faso,Burkina Faso
108,Burundi,Burundi
132,Cabo Verde,Chile
116,Cambodia,Ciprus
120,Cameroon,Comore-szigetek
124,Canada,Costa Rica
140,Central African Republic,Csád
148,Chad,Csehország
152,Chile,Dánia
156,China,Dél-afrikai Köztársaság
170,Colombia,Dél-Szudán
174,Comoros,Dél-Korea (Koreai Köztársaság)
178,Congo,Dominikai Közösség
180,"Congo, Democratic Republic of the",Dominikai Köztársaság
188,Costa Rica,Dzsibuti
384,Côte d'Ivoire,Ecuador
191,Croatia,Egyenlítői-Guinea
192,Cuba,Egyesült Arab Emírségek
196,Cyprus,Egyesült Királyság
203,Czechia,Egyiptom
208,Denmark,Elefántcsontpart
262,Djibouti,Salvador
212,Dominica,Eritrea
214,Dominican Republic,Észak-Korea (Koreai NDK)
218,Ecuador,Észtország
818,Egypt,Etiópia
222,El Salvador,Fehéroroszország
226,Equatorial Guinea,Fidzsi
232,Eritrea,Finnország
233,Estonia,Franciaország
748,Eswatini,Fülöp-szigetek
231,Ethiopia,Gabon
242,Fiji,Gambia
246,Finland,Ghána
250,France,Görögország
266,Gabon,Grenada
270,Gambia,Grúzia
268,Georgia,Guatemala
276,Germany,Guinea
288,Ghana,Guyana
300,Greece,Haiti
308,Grenada,Hollandia
320,Guatemala,Honduras
324,Guinea,Horvátország
624,Guinea-Bissau,India
